date,total_positive,total_deaths,total_recovered
01/31/2020,3,0,1
02/01/2020,3,1,2
03/06/2020,5,1,2
03/07/2020,6,1,2
03/08/2020,10,1,2
03/09/2020,24,1,2
03/10/2020,33,1,2
03/11/2020,49,1,2
03/12/2020,52,2,2
03/13/2020,64,5,2
03/14/2020,111,9,2
03/15/2020,140,12,2
03/16/2020,142,12,3
03/17/2020,187,14,4
03/18/2020,202,17,7
03/19/2020,217,17,8
03/20/2020,230,18,8
03/21/2020,307,19,13
03/22/2020,380,25,17
03/23/2020,462,33,18
03/24/2020,552,35,20
03/25/2020,636,38,26
03/26/2020,707,45,28
03/27/2020,803,54,31
03/28/2020,1075,68,35
03/29/2020,1418,71,42
03/30/2020,1546,78,42
03/31/2020,2084,88,49
04/01/2020,2311,96,50
04/02/2020,2633,107,51
04/03/2020,3018,136,52
04/04/2020,3094,144,57
04/05/2020,3246,152,64
04/06/2020,3660,163,73
04/07/2020,3764,177,84
